Page,MiracleHunter Entry,Status,Existing Link,Additional Tags
1700-1799,1740 - Rome (Italy) — Madonna of Divine Love,"Untraceable (real, major, standing shrine — Santuario della Madonna del Divino Amore — but per the record's own sourced research this is a miraculous-image protection legend, not a personal Marian apparition; reclassified from candidate to excluded and marian-sites tag removed this pass for consistency with the audit's established handling of uncorroborated apparition claims at real sites; MiracleHunter link added)",research_findings excluded 5326a257-14da-4a82-a8a3-f27890aad0ef,
1700-1799,1747 - Bois-de-la-Roche-en-Néant (France),Excluded — no locatable site identified (MiracleHunter link added this pass — was missing; appears to be an empty placeholder in MiracleHunter's own catalogue),research_findings excluded 46afb061-5153-4b49-85a7-e8b2fd6755e9,
1700-1799,1765 - Potschaiw/Pochaiv (Ukraine),Queued for approval (cross-page duplicate: same monastery — Pochaiv Lavra — already logged on the 1100-1199 CSV with a MiracleHunter link; this page's 1765 Turkish-army event is a third apparition tradition at the same site),research_findings candidate 151b4c13-f44c-48a5-ba6a-5363e9f073e9,
1700-1799,"1750 - Chaguaya, Tarija (Bolivia)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 65c02862-3f10-4489-83c9-5125dd2d9028,
1700-1799,October 1753 - Gimigliano (Italy),Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 0a5c0cce-5787-4bbd-8b4a-6ea26c5c5235,
1700-1799,1754 - Guaitara Canyon (Colombia) — Our Lady of Las Lajas,"Approved, in sites (tag and MiracleHunter link already complete)",https://orbisdei.org/site/co-potosi-basilica-of-our-lady-of-las-lajas,
1700-1799,"April 19, 1759 - Mariabesuyú/Máriabesnyő (Hungary)",Not previously ingested — written as new lead this pass,research_findings lead 547f2a0b-5fa1-4678-82c1-6a6e81894fe6,
1700-1799,1769 - France (Marie Lenormand),"Excluded — no locatable site identified (new excluded record written this pass — bare country name only, no city/structure named)",research_findings excluded 63922056-16af-4119-944b-77216a5af688,
1700-1799,"1777 - Valley Forge, Pennsylvania (USA) — George Washington",Excluded — no locatable site identified (new excluded record written this pass; flagging that this account never actually names or describes the Virgin Mary and is widely regarded as an apocryphal 1859 newspaper legend — doubtful this belongs on a Marian apparitions list at all),research_findings excluded 95fc56c6-ea71-4cfc-adb2-b2ee2ce51d76,
1700-1799,1779 - Bocca Pignone di Ripalta (Italy) — Madonna della Ghianda,Not previously ingested — written as new lead this pass,research_findings lead 1f425a61-ef94-4bd3-97d9-eee067bdf4fb,
1700-1799,1779 - Sarov (Russia) — St. Seraphim of Sarov,Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate fb711957-7077-4cd4-9d8a-ee5e17e5c4ef,
1700-1799,"1783 - Dülmen, Westphalia (Germany) — St. Anne Catherine Emmerich",Untraceable (real convent/visionary — Anne Catherine Emmerich at the Agnetenberg convent — but independent research found no corroboration for a specific 1783 apparition; her documented visions/stigmata began in 1812. MiracleHunter link added this pass),research_findings excluded cd5582ba-56fd-45a1-86ae-fca258e9b229,
1700-1799,1791 - Bordeaux (France) — Bl. Guillaume-Joseph Chaminade,Excluded — no locatable site identified (MiracleHunter link added this pass — was missing; no documentation found for any 1791 Marian apparition/claim in Bordeaux — genuine Bordeaux apparition claims exist only for other years),research_findings excluded a1a282b2-c54f-4d24-a906-82d08414b0d3,
1700-1799,1792 - Doroszlo (Hungary) — János Zavloczki,"Not previously ingested — written as new lead this pass (existing research_findings row was mis-scoped to a different country batch and incorrectly excluded — real site is Doroslovo, Sombor municipality, Serbia, part of the historic Kingdom of Hungary in 1792; reclassified from excluded to lead this pass with tag and MiracleHunter link added)",research_findings lead 56fb564c-9f56-4b1e-abbe-6388945a12b9,
1700-1799,1790 - Matemblewo (Poland),Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate c4e3f533-f6f7-43de-89a0-b9c0fa149227,
1700-1799,1798 - LaVang (Vietnam),"Approved, in sites (tag and MiracleHunter link already complete)",https://orbisdei.org/site/vn-hai-lang-basilica-of-our-lady-of-la-vang,
