Page,MiracleHunter Entry,Status,Existing Link,Additional Tags
40-999,ca. 400 - Constantinople (Turkey),Not previously ingested — written as new lead this pass,research_findings lead 40e87a69-a03f-4efd-998d-2814ffd6cb0d,
40-999,420 - Egypt,"No specific site/structure cited by MiracleHunter (country only, no place named) — not trackable as a database site",,
40-999,431 - Behuard (France),"Queued for approval (initially miscategorized as net-new — actually already researched as ""Church of Our Lady of Béhuard"" under a prior pass; MiracleHunter link added this pass — was missing, no dedicated MH subpage exists so the category index page was used)",research_findings candidate ecb32e29-f9bb-4e6f-b8af-3e89e5f832b4,
40-999,450? - Agde (France),Queued for approval (MiracleHunter source link added this pass — was missing),research_findings candidate e061ccf8-7330-4bc9-a855-4da47e7bb32c,
40-999,455 - Constantinople (Turkey),Not previously ingested — written as new lead this pass,research_findings lead e7191b7e-8d34-414c-9d1d-223250608606,
40-999,ca. 490 - (no place named; Visionary: Corentin),No specific site/structure cited by MiracleHunter (no place named at all) — not trackable as a database site,,
40-999,"492 - Gargano, Naples (Italy)",Not previously ingested — written as new lead this pass,research_findings lead 1bab5cd7-f440-4b50-bfaf-285d959b7873,
40-999,"500? - Sicea, Galatia (Turkey)",Not previously ingested — written as new lead this pass,research_findings lead 4749d167-a61c-4221-a86d-6e9537a5a6ac,
40-999,526 - Rome (Italy),Not previously ingested — written as new lead this pass,research_findings lead a1dc45dd-0bbc-4e43-8495-647abb3ba52d,
40-999,530 - (no place named; Visionary: St. Dosithée),No specific site/structure cited by MiracleHunter (no place named at all) — not trackable as a database site,,
40-999,535 - (no place named; Visionary: St. Melaine),No specific site/structure cited by MiracleHunter (no place named at all) — not trackable as a database site,,
40-999,"538 - Adana, Cilicia (Turkey)",Not previously ingested — written as new lead this pass,research_findings lead 4ce27b88-f889-4ee7-a426-50cc6bfcd016,
40-999,c. 550 - (no place named; Visionary: St. Galla),No specific site/structure cited by MiracleHunter (no place named at all) — not trackable as a database site,,
40-999,c. 550 - (no place named; Visionary: St. Gregory of Tours),No specific site/structure cited by MiracleHunter (no place named at all) — not trackable as a database site,,
40-999,c. 550 - Spoleto (Italy),Queued for approval,research_findings candidate 0a12b350-b1f1-482e-9985-4e0916c5c186,
40-999,552 - Constantinople (Turkey),Not previously ingested — written as new lead this pass,research_findings lead 2259a981-e92b-4feb-8fc5-65f6b24d502e,
40-999,552 - Gualdo Tadino (Italy),Not previously ingested — written as new lead this pass,research_findings lead bd470e4c-08c1-4d0a-8a17-96393127c598,
40-999,560 - Genoa (Italy),Queued for approval (MiracleHunter source link added this pass — was missing),research_findings candidate 7b8c6b14-9f36-4c15-8e2a-3c3111a2af6c,
40-999,"5th century - Evesham, Worcestershire (England)",Queued for approval,research_findings candidate 34116f2f-b510-48ce-a0e8-187d44a757fd,
40-999,6th century - Saydnaya (Syria),Queued for approval,research_findings candidate ae2a50f0-0924-4e43-b6d9-b9e4299db971,
40-999,6th century - Constantinople (Turkey),Not previously ingested — written as new lead this pass,research_findings lead 4af10699-02a2-4f36-880c-d57a86804311,
40-999,626 - Constantinople (Turkey),Not previously ingested — written as new lead this pass,research_findings lead 85308c04-aef9-4809-9efc-c8b742aee311,
40-999,636 - Boulogne (France),Queued for approval (MiracleHunter source link added this pass — was missing),research_findings candidate 5d71b383-efa2-43d0-8f92-3260a1be728f,
40-999,658 - (no place named; Visionary: St. Giudicaele),No specific site/structure cited by MiracleHunter (no place named at all) — not trackable as a database site,,
40-999,"660 - Hainault, Flanders (Belgium)",Not previously ingested — written as new lead this pass,research_findings lead 3567ee6e-7bdd-4489-a864-11780716a92e,
40-999,"August 15, 660 - Toledo (Spain)",Queued for approval (MiracleHunter source link added this pass — was missing),research_findings candidate e356b137-6538-409b-a23e-00672ddd68b2,ildefonso-toledo
40-999,663 - Benevento (Italy),Not previously ingested — written as new lead this pass,research_findings lead 96969b15-c37d-455c-914f-baaa9a94a94e,
40-999,684 or 700 - Clermont-Ferrand (France),Queued for approval,research_findings candidate c3397e3d-d1dd-4e50-a079-84056a7162a6,
40-999,6th c. - Bonito (Italy),Queued for approval (MiracleHunter source link added this pass — was missing),research_findings candidate e6027a6c-736f-4ed7-af5c-c92ccb1b5a88,
40-999,708 or 717 - Evesham (England),Queued for approval,research_findings candidate 34116f2f-b510-48ce-a0e8-187d44a757fd,
40-999,714 - Constantinople (Turkey),Not previously ingested — written as new lead this pass,research_findings lead 39349b3d-d38f-4cfc-8529-c667ee173d76,
40-999,715 - Propezzano (Italy),Not previously ingested — written as new lead this pass,research_findings lead 5bad20c4-c2c1-40f7-b335-9b16cb75aa60,
40-999,720 - Farfa (Italy),Queued for approval,research_findings candidate 06a7fb9f-92c4-4118-881a-9795bdfc8f99,
40-999,727 - Maastricht (Germany),Not previously ingested — written as new lead this pass,research_findings lead 81bcc464-2a7e-4dc1-8404-3ff8c9007256,
40-999,731 - Savoy (France),"Excluded — no locatable site identified (per existing research; MiracleHunter ties the claim only to the broad Savoy region, no specific church or marker named)",research_findings excluded 637e00ca-2f29-4384-943e-403cc562b5eb,marino-savoy
40-999,754 - Mainz (Germany),"Untraceable (real, well-documented site — Fulda Cathedral, Boniface's burial site and Germany's foremost Bonifatian pilgrimage destination — but the specific oak-tree apparition claim is uncorroborated by near-contemporary sources, and MiracleHunter itself places the event at ""Mainz,"" not Fulda; marian-sites tag removed and status corrected to excluded this pass, per your Fulda Cathedral / St. Boniface precedent)",research_findings excluded a37a1765-c188-4d14-b832-22c5c90b5253,boniface-mainz
40-999,766 - Montreuil (France),"Queued for approval (marian-sites tag added this pass — was missing; note the matching record's municipality is Moussy-le-Neuf, not Montreuil — worth double-checking against MiracleHunter's place name when next reviewed)",research_findings candidate 09d07925-fd29-4f69-992f-9d7792e74aa9,opportuna-montreuil
40-999,c. 800 - Rosenthal (Germany),Queued for approval,research_findings candidate 6fb2cd67-5997-4248-8997-1401a83856cb,
40-999,c. 810 - Corbie (France),Not previously ingested — written as new lead this pass,research_findings lead df0b0031-835e-4491-8ed3-7e5d9df05f40,
40-999,836 - Toulouse (France),"Excluded — no locatable site identified (per existing research; no specific church or marker named, apparition placed only generally in ""Toulouse"" during an unspecified Mass)",research_findings excluded f3c81b02-aacd-4276-bbba-5f409549c155,
40-999,840 - Tours (France),Not previously ingested — written as new lead this pass,research_findings lead a423e779-8ba4-43ae-bec6-3c513cdba6e1,
40-999,ca. 900 - Blacherne (Turkey),Not previously ingested — written as new lead this pass,research_findings lead 8e3bcc25-4176-4def-afa3-f8b0337eb9a9,
40-999,930 - Reims (France),"Excluded — no locatable site identified (per existing research; MiracleHunter's own entry has no narrative, location, or source beyond the bare visionary name ""Fr. Gerhard"")",research_findings excluded e7683008-0aab-4e20-a310-72099a44d00b,
40-999,"September 13, 948 - Einsiedeln (Switzerland)",Queued for approval,research_findings candidate 42caff0e-97fc-49a5-ae60-4e9249b80b64,meinrad-einsiedeln
40-999,c. 950 - Castelnuovo di Conza (Italy),Queued for approval,research_findings candidate 0dcfd326-bf0a-4140-9783-2c242bfe8b80,
40-999,959 - Herford (Germany),Queued for approval (MiracleHunter source link added this pass — was missing),research_findings candidate 4d61e279-03a3-43d8-a3eb-2a8766181e2c,
40-999,963 - Mt. Athos (Greece),Not previously ingested — written as new lead this pass,research_findings lead 94af089d-c385-4b0d-bf89-4847c961b591,
40-999,965 - Cologne (Germany),"Excluded — no locatable site identified (per existing research; no shrine, chapel, or marker resulted from or commemorates the event per any source found)",research_findings excluded 433ac652-d0c9-4fbe-aeef-d066475ae9b7,
40-999,970 - Sion Les Saintos (France),"Queued for approval (initially miscategorized as net-new under a wrong guess of ""Toul"" — actually already researched and correctly matched to ""Basilica of Our Lady of Sion"" (Saxon-Sion, France) under a prior pass; MiracleHunter link added this pass — was missing, no dedicated MH subpage exists so the category index page was used)",research_findings candidate 9a7865c0-87cb-4040-89c0-9c980ff0f41c,
40-999,980 - Canterbury (England),Queued for approval,research_findings candidate 93a0b857-f755-492b-9a5c-9e8e1e3307c3,"dunstan-canterbury,anselm-canterbury,thomas-becket"
40-999,shortly before 1000 - Picciano (Italy),Queued for approval,research_findings candidate 0604d8d9-4a20-4ce7-aa10-cc0915810bdd,
