Page,MiracleHunter Entry,Status,Existing Link,Additional Tags
1600-1699,"1632 - Cavite City, Cavite (Philippines)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 6f932102-da61-4105-8d55-3f56c9f753c6,
1600-1699,1632 - Japan,Excluded — no locatable site identified,research_findings excluded 0012f6cb-32d7-43d0-b499-8a37e1511391,
1600-1699,1633 - Constance (Germany),Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 252fa1fa-cd5a-43ad-9575-49bb9f2ebbfb,
1600-1699,1633 - Lake Huron (Canada),Excluded — no locatable site identified,research_findings excluded 9a9b1e7b-1494-4988-9ce1-48ede3c18725,
1600-1699,"May 19, 1634 - Guiclan (France)",Excluded — no locatable site identified,research_findings excluded 06819b74-14fa-44cb-a2a6-3aea0d9aee55,
1600-1699,"Feb 2, 1634 - Quito (Ecuador)","Queued for approval (cross-page duplicate: same apparition already logged on the 1500-1599 CSV as the ""1594 Quito"" entry — MiracleHunter's own text here notes ""some sources put first apparition date at 1594""; also BISHOP APPROVED per MiracleHunter's own page)",research_findings candidate 276096a8-cf23-4602-ab81-5fa3a5c5158e,
1600-1699,"March 17, 1635 - Bargemon (France)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 7ac8f954-1e6d-4dfe-bef1-491b74d06a0e,
1600-1699,1636 - Sinopoli (Calabria),Excluded — no locatable site identified,research_findings excluded 2ed6b049-d748-41d3-8d31-86db6c45870e,
1600-1699,"1637 - Ajaccio, Corsica (France)",Excluded — no locatable site identified,research_findings excluded d81722c4-3557-49f2-9f62-dff4aad32b52,
1600-1699,"Nov 3, 1637 - Frejus (France)","Queued for approval (cross-page duplicate: MiracleHunter's own 1500-1599 page also lists this event as the 1519 Catignac/Cotignac entry, already MiracleHunter-linked from that pass; this row's own markup carried a stray/bogus link to an unrelated Senegal shrine URL — ignored, real record cited instead)",research_findings candidate 0d965ccd-e23c-4613-a831-3640b0b4290e,
1600-1699,1638 - Prague (Czechoslovakia),Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate caaa7c76-c718-4511-9b36-fca8111ec328,
1600-1699,1640 - Beaune (France),Excluded — no locatable site identified,research_findings excluded 065c189b-19ba-43db-ad0e-540971f6c678,
1600-1699,1639 - Savigliano (Italy),Excluded — no locatable site identified,research_findings excluded 0ef0eb9e-1ba7-45db-8ace-1d5f2d1b1641,
1600-1699,1640 - Montagnolo-Pinnochio (Italy),Excluded — no locatable site identified,research_findings excluded b6c971b3-99b5-4a83-b557-48180aeac254,
1600-1699,1640 - Cast (France),Excluded — no locatable site identified,research_findings excluded 5888edd4-f445-43c4-9b44-e6613100632a,
1600-1699,"Dec 25, 1641 - Kevelaer (Germany)",Queued for approval (cross-page duplicate: same shrine already surfaced by an earlier general research pass, not MiracleHunter-page-tagged),research_findings candidate 799cbc59-86d3-488c-bd36-7dc2b57871f3,
1600-1699,1641 - Palizi (Russia),Excluded — no locatable site identified,research_findings excluded ca3f07f5-76e1-4632-9ff7-5910406a3701,
1600-1699,"1641 - Cursi, Puglia (Italy)",Queued for approval (dedicated MiracleHunter subpage link already present),research_findings candidate 84dba800-6a69-4a91-8fc4-41b6d50c0902,
1600-1699,"1642 - ""Our Lady of the Annunciation"" Jesuit Reduction (Uruguay)",Excluded — no locatable site identified,research_findings excluded 0747a375-a0f6-40b8-bd6c-d6cb2e9ad998,
1600-1699,1642 - Maria Taferl (Austria),Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate c964bbdc-50e0-4b21-86ad-cd482113067c,
1600-1699,1646 - Lake Huron (Canada),Excluded — no locatable site identified,research_findings excluded 8c080aa5-bf29-4b65-9d94-6a6a7aa26ef6,
1600-1699,1647 - Buenos Aires (Argentina),Excluded — no locatable site identified,research_findings excluded a3c00973-4b48-4218-8b0b-e5ad3b60289e,
1600-1699,"July 10, 1647 - Ponzano Magra (Italy)","Queued for approval (within-page duplicate of the ""Aug 23, 1648 Corigliano Calabro"" entry below — identical title ""Our Lady of Schiavonea,"" one candidate record)",research_findings candidate c09bf5d3-9d0b-4535-8fce-9194583456ed,
1600-1699,"Aug 23, 1648 - Corigliano Calabro (Italy)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate c09bf5d3-9d0b-4535-8fce-9194583456ed,
1600-1699,1649 - Naples (Italy),Excluded — no locatable site identified,research_findings excluded 23228263-f872-40f4-836b-a9836d58eeb1,
1600-1699,1649 - Paris (France),Excluded — no locatable site identified,research_findings excluded 1e74801c-0d7c-4c47-b4bc-63198497cbdc,
1600-1699,1649 - Plounévez-Quentin (France),Excluded — no locatable site identified,research_findings excluded 4893db0f-181b-44fd-9e50-0a6ae53ff18e,
1600-1699,"March 20, 1651 - Turin (Italy)",Excluded — no locatable site identified,research_findings excluded dc5d5fb8-e069-49e6-8976-985faf607cd2,
1600-1699,1652 - Coromoto (Venezuela),Queued for approval (cross-page duplicate: same shrine already surfaced by an earlier general research pass),research_findings candidate 40707a06-4e35-4884-9c5c-89deb7130cfe,
1600-1699,1652 - Campénéac (France),Excluded — no locatable site identified (new excluded record written this pass — entry was missing from the prior research batch entirely),research_findings excluded 7bf767b7-07c5-4ed0-ae88-00b3ceebede2,
1600-1699,"Aug 15, 1652 - La Prénessaye, Querrien, Bretania, diocese of Saint-Brieuc (France)",Queued for approval (dedicated MiracleHunter subpage link already present),research_findings candidate bc12da04-c4f9-4db7-adc1-98a53acaa103,
1600-1699,"July 2, 1654 - Colere (Italy)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 17372808-aee0-41f8-b23f-8cf49b25b514,
1600-1699,"1655 - Pieve di Rosa, San Vito al Tagliamento (Italy)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 7849bcf2-75d1-401c-81a0-7e5df720f7ae,
1600-1699,March 25 (1649/1657) - Les Plantees (France),Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 3e8df914-1d93-414a-add0-1ab6dde68510,
1600-1699,"1660 - Ancienne Lorette, Quebec (Canada)",Excluded — no locatable site identified,research_findings excluded 1390bec7-4006-4427-8c98-90c5eb7f7c8b,
1600-1699,1660 - Malta,Excluded — no locatable site identified,research_findings excluded df5ae832-677c-45d4-b542-f4a186081e4a,
1600-1699,1660 - Trun (Switzerland),Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 08382fbd-81f0-4753-9da9-12219d2f5fd4,
1600-1699,"1661 - Mariahilfberg, Gutenstein (Austria)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 9ed07ab5-2808-4d1e-9280-e17baef205b2,
1600-1699,1663 - Birkenstein (Germany),Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate ec4b6f90-2da7-4b54-a262-806a078aca01,
1600-1699,1664 - Le Laus (France),"Approved, in sites (proposed_modification research row pending separate review, no action needed here — tag and link already complete)",https://orbisdei.org/site/fr-saint-etienne-le-laus-sanctuary-of-our-lady-of-laus,
1600-1699,1665 - Agreda (Spain),Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate c7d6d8fb-e3ae-4043-8172-b52d4d6851ca,maria-de-agreda
1600-1699,1667 - Mary Tax (Austria),Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate c8b3e389-d136-4238-a641-6045fdef7f80,
1600-1699,1664-1727 - Mercatello sul Matauro,Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate c35349df-7ae9-4f66-8b4d-261d2ebf8a35,veronica-giuliani
1600-1699,1668 - San Vito di Casalbuttano (Italy),Excluded — no locatable site identified (empty entry, no content),research_findings excluded f59c29c9-c5b6-43fe-9913-2d78800ba0f5,
1600-1699,April 1668 - Pancole (Italy),Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 8d9bd74c-bad4-4713-8fce-aa073546e595,
1600-1699,"April 18,1671 - San Bartolomeo al Mare (Italy)",Queued for approval (within-page duplicate of the July 1608 San Bartolomeo al Mare entry above — same shrine),research_findings candidate 1fa238cd-36b6-4910-8cfd-ee5c4bdabba3,
1600-1699,"1673 - Janots, Paray-Le-Monial / Lauthecour (France)",Excluded — no locatable site identified,research_findings excluded ac2e50b5-a808-40ee-8642-a8c86307b7b9,
1600-1699,"c.1673 - Agnie, Québec (Canada)",Excluded — no locatable site identified,research_findings excluded dbb16eb0-2174-448a-ad45-1ee93e549ef5,
1600-1699,"March 26, 1675 - Bianzone (Italy)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 64362272-a754-4739-9a8c-009703e243fe,
1600-1699,1675 - Pochayiv (Ukraine),"Queued for approval (cross-page duplicate: same candidate record already cited on the 1100-1199 CSV as the founding-apparition entry; this page's 1675 Zbarazh War apparition is a second, later event at the same monastery, already documented in the candidate's own description)",research_findings candidate 151b4c13-f44c-48a5-ba6a-5363e9f073e9,
1600-1699,"1677 - Alcobendas, España",Excluded — no locatable site identified,research_findings excluded 5f890ab6-2e6f-4759-b6dd-b59756f6f868,
1600-1699,"April 17, 1677 - Torre di Ruggiero (Italy)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 959f5d98-df51-4bb2-bddb-045f8f33b377,
1600-1699,1680 - Saint-Carr (France),Excluded — no locatable site identified (new excluded record written this pass — entry was entirely missing from the prior research batch, likely because the source page fetch was truncated around this point; place name unidentifiable — no French commune named ""Saint-Carr"" could be located),research_findings excluded 811fde29-585a-4ce5-9bf5-7877254aedca,
1600-1699,"May 28, 1686 - Celles, Ariege (France)",Not previously ingested — written as new lead this pass (lower confidence — MiracleHunter's own detailed text names no resulting built structure; flagged for review),research_findings lead 51d57c2b-5dc4-4d7c-a6e0-ad2bdd5fd234,
1600-1699,1692 - Cavite City (Phillipines),Queued for approval (within-page duplicate of the 1632 Cavite City entry above — same shrine, recurring devotion tradition),research_findings candidate 6f932102-da61-4105-8d55-3f56c9f753c6,
1600-1699,1692 - THE GIAUDET-LANRIVAIN (BELGIUM),"Not previously ingested — written as new lead this pass (MiracleHunter's own text garbles the country as ""Belgium""; corrected to France per the entry's own wording, ""diocese of Saint-Brieuc"" — real, identifiable shrine, Chapelle Notre-Dame du Guiaudet)",research_findings lead 74dfe8ae-9353-441d-b742-f5c5fc098468,
1600-1699,"Jan 9, 1692 - Messina, Sicily, Italy",Not previously ingested — written as new lead this pass (medium confidence — MiracleHunter's text does not explicitly name Messina Cathedral but the Madonna della Lettera devotion described is inseparable from it),research_findings lead b561ba4c-02fd-4ff3-a15b-53234758b95e,
1600-1699,"Nov 13, 1695 - Santa Rosa, Ambato, Tungurahua, Ecuador",Not previously ingested — written as new lead this pass,research_findings lead 6789ecc5-bf29-4951-9490-531510ebff60,
1600-1699,1696 - Quito (Ecuador),"Not previously ingested — written as new lead this pass (distinct from the other two Quito entries on this page — Feb 1634 Mother Mariana de Jesus Torres, and Dec 1696 Nuestra Señora de la Nube below)",research_findings lead 8025d3fd-8fda-44f8-8d1e-0f6e2b08f37d,
1600-1699,"1696 - Ellwangen, WÚTTENBERG (GERMANY)",Not previously ingested — written as new lead this pass,research_findings lead d6c44494-8c92-44ae-ba16-fe2042e68868,
1600-1699,"Dec 30, 1696 - Quito, Ecuador",Not previously ingested — written as new lead this pass (medium-low confidence — the reported apparition was a cloud formation, not a fixed structure; nearest documented site cited; flagged for review),research_findings lead 8273f498-655a-4c64-887f-c893c2a9fa46,
1600-1699,SLJMEG (HUNGARY),"Not previously ingested — written as new lead this pass (garbled place name ""SLJMEG"" corrected to Sümeg per the entry's own text; medium confidence — the specific Pieta-relocation legend was not independently corroborated beyond MiracleHunter's own account, though Sümeg's pilgrimage church is real and well documented)",research_findings lead d6b4945e-d731-4e77-bec7-b4d14749df71,
1600-1699,"January 27, 1699 - Castenaso (italy)",Not previously ingested — written as new lead this pass,research_findings lead 01291c00-dd7f-4506-a852-3247e92a99d0,
