Page,MiracleHunter Entry,Status,Existing Link,Additional Tags
1300-1399,undated (same block as 1328 Corsini) - Bergerac (France) [Visionary: St. Peter Thomasius],"Excluded -- no locatable site identified (only that he ""entered the Carmel at Bergerac"" in 1325 is given; the apparitions themselves are described without location; MiracleHunter source link added this pass -- the page's stray Corsini/Fiesole link does not belong to this entry)",research_findings excluded d16c66a7-9497-4f79-acfa-3f2f329895ce,peter-thomas
1300-1399,1336 - Estremoz (Portugal) [Visionary: St. Elizabeth of Portugal],"Queued for approval (matched to the Convent of Santa Clara-a-Velha, Coimbra, where she retired; MiracleHunter source link added this pass -- the page's stray Corsini/Fiesole link does not belong to this entry)",research_findings candidate 281a95e7-e461-4145-b1b5-d066212a84b5,elizabeth-portugal
1300-1399,"undated (same block as 1336 Estremoz) - Pistoia, Tuscany (Italy) [Visionary: a sick girl]","Excluded -- no locatable site identified (no name given for the chapel built in 1348 beyond ""Pistoia"" generally; MiracleHunter source link added this pass)",research_findings excluded 1eee0fa2-2615-4c29-8adf-42868423427e,
1300-1399,"December 29, 1336 - Bra (Italy) [Visionary: Egidia Mathis, Madonna dei Fiori]",Queued for approval (MiracleHunter source link added this pass),research_findings candidate 2f747b8d-3f8f-4ac8-baf6-0eeee55a160a,
1300-1399,1338 - Paris (France) [Visionaries: a monastic Franciscan community],"Excluded -- no locatable site identified (no specific monastery named beyond ""a church of a Franciscan monastery"" in Paris; MiracleHunter source link added this pass)",research_findings excluded 2d98374e-8d7d-4071-af1e-8de10fdca9ad,
1300-1399,"1340 - Pochaiv, Ukraine (Russia) [Visionary: St. Sergius]","Queued for approval (MiracleHunter's own narrative describes St. Sergius of Radonezh, whose documented monastery is the Holy Trinity-St. Sergius Lavra near Moscow, not Pochaiv itself, which the page heading names but the text never actually describes; MiracleHunter source link added this pass)",research_findings candidate b7fbe303-2eac-4c70-8896-8c1696316240,sergius-radonezh
1300-1399,1340 - Tournai (Belgium) [Visionaries: the townspeople],Queued for approval (MiracleHunter source link added this pass),research_findings candidate 28951b34-08c3-486c-a763-42d0543fa5ce,
1300-1399,1344 - Cairo (Egypt) [Visionary: Blessed Livini],Excluded -- no locatable site identified (no specific church named in Cairo for these apparitions; MiracleHunter source link added this pass -- the page's stray Corsini/Fiesole link does not belong to this entry),research_findings excluded 90693efd-9bff-40a1-afae-42d819c0d89b,
1300-1399,"May 15, 1345 - Montenero-Leghorn (Levora) (Italy) [Visionary: a crippled shepherd boy]",Queued for approval (MiracleHunter source link added this pass),research_findings candidate bf592e07-0f06-4294-a5d1-667cbbe381d2,
1300-1399,"May 15, 1345 - Siena/Bibbiena (Italy) [Visionary: St. Catherine of Siena, Madonna of the Stone and Darkness]","Queued for approval (matched to the Basilica of San Domenico, Siena, Cappella delle Volte, site of her documented mystical-marriage vision; MiracleHunter source link added this pass -- the page's stray Corsini/Fiesole link does not belong to this entry)",research_findings candidate 8ec04625-d40e-4ec9-9b6c-b90fc2684a8d,catherine-siena
1300-1399,"April 8, 1356 - Basella, Lombardy, Diocese of Bergamo (Italy) [Visionary: Marina Cassone, Madonna of the Olive]",Queued for approval (MiracleHunter source link added this pass),research_findings candidate 99f400c1-e593-42cd-b25a-d591ee551781,
1300-1399,"1359 - Naples (Italy) [Visionary: Charles, Count of Verona, Liberator of Prisoners]","Queued for approval (matched to the Basilica of Santa Maria del Carmine Maggiore, Naples; MiracleHunter source link added this pass)",research_findings candidate a5792055-b197-4221-8454-1bc75d3b5bf6,
1300-1399,"May 14, 1386 - Dovera, Cremona, Lombardy / Ostigilia (Italy) [Visionary: a young deaf-mute shepherdess, Beata Vergine del Pilastrello]","Excluded -- no locatable site identified (MiracleHunter's own entry conflates two distinct place names -- Dovera, Cremona and Ostiglia -- with no other descriptive detail; MiracleHunter source link added this pass)",research_findings excluded 497f7de8-2993-481d-a9bf-117d8cec0f97,
1300-1399,"1363 - Mariazell (Austria) [Visionary: Ludwig I, King of Hungary]","Queued for approval (second apparition tradition at the same Mariazell site MiracleHunter itself cross-references, logged as a candidate from the 1100-1199 era-page CSV -- same candidate row, no new work needed)",research_findings candidate 6f57b68c-ea04-4cca-bb86-9618a0f4b16c,
1300-1399,"undated (same block as 1363 Mariazell) - Pribram (Czechoslovakia/Czech Republic) [Visionary: Ernest Pardubitz, archbishop of Prague]","Queued for approval (matched to Svata Hora Basilica, Pribram; MiracleHunter source link added this pass)",research_findings candidate 6d2b5412-c209-407c-a9fc-6f663e67e290,
1300-1399,undated (same block as 1363 Mariazell) - Valencia (Spain) [Visionary: St. Vincent Ferrer],"Queued for approval (matched to the Royal Basilica of St. Vincent Ferrer, Valencia; MiracleHunter source link added this pass -- the page's stray Corsini/Fiesole link does not belong to this entry)",research_findings candidate 0131e3d0-9ad7-4488-a391-0986e73d2d91,vincent-ferrer
1300-1399,"1380 - Aljubarrota (Portugal) [Visionary: Catarina Anes, miraculous spring]","Queued for approval (matched to the Chapel of Our Lady of the Light / Fonte Santa, Alcobaca -- ""Fonte Santa"" (Holy Spring) matches the spring/water narrative directly; a second detail in the same MiracleHunter entry, a knight's prayer at a church near Ourem before the 1385 Battle of Aljubarrota, is not separately tracked. MiracleHunter source link added this pass)",research_findings candidate a68d3bc9-61b4-4907-b4dd-03ac1e5eb403,
1300-1399,1384 - Mariastein (Switzerland) [Visionary: a shepherd herding cows],Queued for approval (MiracleHunter source link added this pass),research_findings candidate 5159f021-3ec0-4800-9fcf-d929697b1efa,
1300-1399,1392 - Segovia (Spain) [Visionary: a shepherd],"Queued for approval (matched to the Convent of Santa Cruz la Real, Segovia; MiracleHunter source link added this pass)",research_findings candidate e595e183-c8fb-481c-985a-678bf3914174,
1300-1399,"1392 - Tenerife, Canary Islands (Spain) [Visionaries: two Guanche shepherds, Virgen de la Candelaria]",Queued for approval (matched to the Basilica of Candelaria; MiracleHunter source link added this pass),research_findings candidate 7f71936e-4a22-43f2-b3a1-234cd44c78c7,
1300-1399,Eve of the Ascension 1395 - Garaballa (Spain) [Visionary: a shepherd],Excluded -- no locatable site identified (no source cited and no shrine/chapel name given; MiracleHunter source link added this pass),research_findings excluded 85d38024-197b-43a0-9697-36672e1830a5,
1300-1399,July 1399 - Valverde (Italy) [Visionary: a peasant],"Excluded -- no locatable site identified (only ""Valverde (Italy)"" is given with a bare citation; distinct from the already-published Sanctuary of Our Lady of Valverde written from the 1000-1099 era page, but not confirmable as the same or a different specific site; MiracleHunter source link added this pass)",research_findings excluded 6868d463-31b3-4d2c-bd05-4e13a74b1bfe,
1300-1399,"March 26, 1399 - Santa Gadea del Cid, Burgos (Spain) [Visionaries: Pedro Garcia de Arbe and Juan de Enzinas, Virgen del Espino]",Queued for approval,research_findings candidate 786441f5-90be-4950-b5f2-c1e1203a044a,
1300-1399,undated (end of 14th century) - Avila (Spain),"Excluded -- no locatable site identified (MiracleHunter's entire entry reads only ""some people spoke of an apparition of the Virgin,"" with no visionary, site, or other detail given; MiracleHunter source link added this pass)",research_findings excluded 346a36ce-27a6-4c42-889b-b9943014e1ea,
