Page,MiracleHunter Entry,Status,Existing Link,Additional Tags
1000-1099,1060 - Espain (France),"Queued for approval (matched to Abbey of Pontida, Italy — MiracleHunter's own text names the actual foundation as near Bergamo, so ""Espain, France"" appears to be a MiracleHunter place-name error; MiracleHunter link added this pass — was missing, no dedicated MH subpage exists, category index page used)",research_findings candidate 5283708e-dad0-45f3-b609-7885df2d735f,
1000-1099,1061 - Walsingham (England),Queued for approval (MiracleHunter source link added this pass — was missing),research_findings candidate c67bf98e-e298-4c17-a852-4f7cffd74ca7,
1000-1099,1064 - Palermo (Italy),Queued for approval (MiracleHunter source link added this pass — was missing),research_findings candidate d5755685-ab9e-4e5d-96b6-25008e93c340,
1000-1099,1070 - North Sea (England),"Excluded — no locatable site identified (per existing research; the apparition occurred at sea during a storm, categorically no fixed location)",research_findings excluded f3d6b2ee-0266-4a26-a49e-745cd751877d,
1000-1099,"February 12, 1080 - Conche (Italy)","Queued for approval (MiracleHunter source link added this pass — was missing; no dedicated MH subpage exists, category index page used)",research_findings candidate 8101f358-3e38-433b-98bb-d79f047c894d,
1000-1099,1081/1085 - Liege (Belgium),"Queued for approval (MiracleHunter source link added this pass — was missing; no dedicated MH subpage exists, category index page used)",research_findings candidate 596b2626-d9aa-419a-ac47-3f2160e59ae7,
1000-1099,"May 25, 1124 - Monte Vergine, Campania (Italy)","Queued for approval (MiracleHunter source link added this pass — was missing; no dedicated MH subpage exists, category index page used; note this entry's own date, 1124, falls outside this page's 1000-1099 range, but MiracleHunter lists it here, so it's included as listed)",research_findings candidate d7881a65-8d5b-4639-9f11-5b4bf4d1e3da,william-vercelli
1000-1099,1087 - Oudenburg (Belgium),"Queued for approval (MiracleHunter source link added this pass — was missing; no dedicated MH subpage exists, category index page used)",research_findings candidate 842d1a6f-2e90-4f44-b7ea-642785537523,
1000-1099,1091 - Fontgombault Abbey (France),"Queued for approval (MiracleHunter source link added this pass — was missing; no dedicated MH subpage exists, category index page used)",research_findings candidate 6868f2c7-d7d5-4d97-ad3f-d9e1c3a5b65b,
1000-1099,1091 - Rome (Italy),Excluded — no locatable site identified (per existing research; MiracleHunter's own entry for St. Bruno has no content beyond the bare visionary name),research_findings excluded 87fadfde-b022-47c3-bdcd-302dd208a590,
1000-1099,1095 - Arras (France),"Queued for approval (MiracleHunter source link added this pass — was missing; no dedicated MH subpage exists, category index page used)",research_findings candidate ecb02478-a390-4d7d-a730-c1e9027349e4,
1000-1099,1097 - Canterbury (England),"Queued for approval (MiracleHunter source link added this pass — was missing on both this and the 40-999 page's Canterbury claim, both fixed this pass; no dedicated MH subpage exists, category index pages used)",research_findings candidate 93a0b857-f755-492b-9a5c-9e8e1e3307c3,"dunstan-canterbury,anselm-canterbury,thomas-becket"
1000-1099,1099 - Los Llanos (Spain),"Queued for approval (MiracleHunter source link added this pass — was missing; no dedicated MH subpage exists, category index page used)",research_findings candidate f27a98d5-9f1c-42e9-b329-9cf3056b3478,
1000-1099,"(undated, ca. 1099) - Turin (Italy)","Queued for approval (MiracleHunter source link added this pass — was missing; no dedicated MH subpage exists, category index page used)",research_findings candidate 47928b40-6c04-4e5f-8e6f-1e21da0ca546,
1000-1099,1099 - Rome (Italy),Excluded — no locatable site identified (per existing research; MiracleHunter's own entry for Pope Pascual II has no content beyond the bare visionary name),research_findings excluded 8a99a7b7-2173-45c5-b7a3-cedddfe4c618,
