Page,MiracleHunter Entry,Status,Existing Link,Additional Tags
1800-1899,"March 10, 1873 - Bilding-St. Avola (France)",Not previously ingested — written as new lead this pass,research_findings lead 32361b2a-ad97-4c41-be54-19c06f9eebd7,
1800-1899,March 1873 - Wittelsheim (Alsace),Excluded — no locatable site identified (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings excluded c62c6dbf-a2d8-4977-8d36-b660cc84cbed,
1800-1899,"April 14, 1873 - Walbach (Alsace)",Excluded — no locatable site identified (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings excluded ac08eb6b-0c46-442d-a46c-5a871523ae05,
1800-1899,"May 15, 1873 - Samois (FRANCE)",Excluded — no locatable site identified (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings excluded 4dd6d2d4-453e-4ab9-a9ef-8639c5d688bb,
1800-1899,"June 8, 1873 - Saint Bauzille DE LA SYLVIE, Montpellier (France)",Not previously ingested — written as new lead this pass,research_findings lead c00b1357-77b9-4f38-840b-f85148207379,
1800-1899,"1873 - Saint Bauzille DE LA SYLVIE, Montpellier (France)","Not previously ingested — written as new lead this pass (same site/subpage as idx 85 above -- combined into a single DB record, not duplicated)",research_findings lead c00b1357-77b9-4f38-840b-f85148207379,
1800-1899,1873 - RIXHEIM (FRANCE),Excluded — no locatable site identified (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings excluded 589220d3-ff8f-4d55-b37f-ca9db2745adf,
1800-1899,"1873 - San Francisco, CA (USA)",Excluded — no locatable site identified (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings excluded 7e0dbf70-20fe-4131-8494-b61a3ac2829f,
1800-1899,1873 - BETTWILLER (FRANCE),Excluded — no locatable site identified (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings excluded 6750eb14-b38e-40d6-b6af-c7782dea8875,
1800-1899,"September 10, 1874 - Noyal-Muzillac (France)",Queued for approval (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings candidate d942c6cc-c94e-4e96-b1fc-bd1cc95e4885,
1800-1899,1874 - Jerusalem,Queued for approval (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings candidate 1f258a34-30df-44bf-b6ce-cfa95172065d,
1800-1899,"May 12, 1874 - Pra' (Italy)",Not previously ingested — written as new lead this pass,research_findings lead 6ba7e423-3395-4b44-8627-afb544964c1e,
1800-1899,"1874 - Bonsecours, Hainaut (Belgium) / Enghien (Belgium)",Excluded — no locatable site identified (MiracleHunter link added this pass),research_findings excluded 1228f263-e169-4d6a-b1c1-0b4ef51c46a9,
1800-1899,"July 1875 - Villareggio, PIEDMONT (Italy)",Excluded — no locatable site identified (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings excluded 88caccaa-b7de-4d60-b9b6-e3de71ab3edc,
1800-1899,1875 - Loigny (FRANCE),Excluded — no locatable site identified (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings excluded 4662cd28-c313-4d96-9fdc-e756a92403ef,
1800-1899,"July 3, 1876 - Marpingen (Germany)",Queued for approval (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings candidate 282c0466-bea6-4ab1-a2f4-6a1ade4190c3,
1800-1899,"July 3, 1876 - FARGUES (FRANCE)",Excluded — no locatable site identified (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings excluded 235f0652-1383-47b6-b374-37086ed552d6,
1800-1899,1876 - Pellevoisin (France),"Approved, in sites",https://orbisdei.org/site/fr-pellevoisin-sanctuary-of-pellevoisin-pilgrimage-center-of-our-lady-of-mercy,community-john
1800-1899,"Dec 11, 1875 - BOULLERET (FRANCE)",Excluded — no locatable site identified (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings excluded f84e5d21-ff46-4b98-91b0-84b540341c00,
1800-1899,1876 - BALTIMORE (USA),Excluded — no locatable site identified (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings excluded 67862475-efe1-4e0c-b1e2-ab506a7ea929,
1800-1899,"Dec 1, 1876 - Mettenbuch (Germany)",Queued for approval (MiracleHunter's own dedicated link for this entry points to its unapproved_apparitions section despite appearing on the Traditionally Approved page -- flagging the contradiction for review),research_findings candidate 24cc147f-5c38-4a05-a43c-21528d260351,
1800-1899,"1877 - Gietrzwald, DIETRICHSWALDE (Poland)","Approved, in sites",https://orbisdei.org/site/pl-giertzwald-sanctuary-of-our-lady-of-gietrzwald,
1800-1899,1877 - Lummen (Belgium),Queued for approval (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings candidate 9c808a56-7d74-4af3-855f-661d0af2982d,
1800-1899,1878 - Corato (Italy),Excluded — no locatable site identified (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings excluded 39eec11c-9cd1-4aff-bc3e-1dbaebeedc09,
1800-1899,1879 - Knock (Ireland),"Approved, in sites",https://orbisdei.org/site/ie-knock-knock-shrine,
1800-1899,"1880 - Holywell, Gainsborough (England)",Not previously ingested — written as new lead this pass,research_findings lead e1dcea4c-4fc9-40f7-b723-06a751414a78,
1800-1899,"1881 - Philadelphia, PA (USA)",Excluded — no locatable site identified (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings excluded 0d69d2e0-e729-410c-9c82-53a19a62ac62,
1800-1899,June 1882 - Les Landes (France),Not previously ingested — written as new lead this pass,research_findings lead c78b646d-2416-4a3d-bad1-81ff3edd1334,
1800-1899,1882 - Lyons (France),Not previously ingested — written as new lead this pass,research_findings lead 5a35acd8-fa00-487e-a240-3a5c1d32e1f4,
1800-1899,1883 - Rovigo (Italy),Not previously ingested — written as new lead this pass,research_findings lead ec6a850e-98f7-4aea-8061-bf8cdc43ed3c,
1800-1899,"May 13, 1883 - Saint Therese of Lisieux","Approved, in sites",https://orbisdei.org/site/fr-lisieux-les-buissonnets-house-of-st-therese,St. Therese of Lisieux; louis-zelie-martin
1800-1899,"June 22, 1883 - Gharb (Gozo) (Sister island of Malta)",Not previously ingested — written as new lead this pass,research_findings lead c710b8dd-c0dd-4d58-86ec-4940348ced3d,
1800-1899,March 1884 - Lyon and Diemoz (France),Not previously ingested — written as new lead this pass,research_findings lead 53db951d-69a4-4c91-b516-f9e3ef4f1292,
1800-1899,1884 - St. Columbin (France),Not previously ingested — written as new lead this pass,research_findings lead 7c68a122-bb39-4823-bb4b-777ca083964b,
1800-1899,"1884 - Aichstetten, Bavaria (Germany)",Not previously ingested — written as new lead this pass,research_findings lead cd51d79c-60bf-46b3-854d-3b29874f3817,
1800-1899,"1884 - Kallikulam, Tamilnad (India)",Not previously ingested — written as new lead this pass,research_findings lead 415057c3-a82b-4f1a-af79-91af3cbecbe5,
1800-1899,1884 - Pompeii (Italy),Not previously ingested — written as new lead this pass,research_findings lead a28b7776-0d25-4a58-826f-dff884dfb3c4,
1800-1899,1884 - MONTLIGEON (FRANCE),Not previously ingested — written as new lead this pass,research_findings lead 4325bfef-beca-474c-8432-105f7a9fe0ea,
1800-1899,"March 27, 1886 - Castelpetroso (Italy)",Queued for approval,research_findings candidate c37a2a9c-7e66-4cdb-8911-c67c03586f7a,
1800-1899,"July 17, 1886 - Saint-Pierre-Eynac (France)",Not previously ingested — written as new lead this pass,research_findings lead 28d98d14-3d68-4082-b3c4-c31fd9db75ee,
1800-1899,"June 14, 1887 - Laugnac (FRANCE)",Not previously ingested — written as new lead this pass,research_findings lead 29e76ad4-d810-4e66-b240-116839c8297d,
1800-1899,"July 19, 1888 - VALLENSANGES (FRANCE)",Not previously ingested — written as new lead this pass,research_findings lead 42118eb1-12be-45d0-8378-34c4ab01511b,
1800-1899,1890 - Signy (France),Not previously ingested — written as new lead this pass,research_findings lead 2f1299dc-dbc6-468e-8661-717acfb24450,
1800-1899,1894 - Szezyk-Bita (Poland),Not previously ingested — written as new lead this pass,research_findings lead f0f5fb5f-6f35-4544-b619-8a77c9161cee,
1800-1899,1895 - Vellangany (India),"Approved, in sites",https://orbisdei.org/site/in-velankanni-basilica-of-our-lady-of-good-health,
1800-1899,"1896 - Tilly-Sur-Seulles, Bayeux (France)",Not previously ingested — written as new lead this pass,research_findings lead 89f86c61-8d7a-4fd4-8242-e6b08a464553,
1800-1899,"Dec 8, 1896 - Imbersago (Lombardy)",Queued for approval (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings candidate 09e5fc5b-e086-4c8e-a172-f3c82abe947e,
1800-1899,1898 - Schippach (Germany),Not previously ingested — written as new lead this pass,research_findings lead 5cab8037-593e-4e91-898b-3010470c7436,
1800-1899,"1899 - Campitello, Corsica (Italy)",Not previously ingested — written as new lead this pass,research_findings lead fa12b27d-bad7-42d8-bfda-00d27079c310,
1800-1899,"June 8th, 1899 - Lucca, Toscana (Italy)",Not previously ingested — written as new lead this pass,research_findings lead d4613220-42ca-46b4-8f80-e08dc6f91b25,
