Page,MiracleHunter Entry,Status,Existing Link,Additional Tags
1500-1599,1578 - Madrid (Spain),Excluded — no locatable site identified,research_findings excluded a0078d4c-d5e2-408a-a2d2-c3eae2cfd82b,
1500-1599,"July 8, 1579 - Kazan (Russia)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate e0603e0d-f893-47ef-b8b6-b397e3b36644,
1500-1599,1580 - Trivento (Italy),Excluded — no locatable site identified,research_findings excluded c0894a18-bbd2-4ba0-bd0e-8ae9b306a1f0,
1500-1599,1580 - Zironi (Spain),Excluded — no locatable site identified,research_findings excluded d274c8fc-d205-43a5-a26c-1fa9c37e6b35,
1500-1599,"July 16, 1580 - Ziteli (Switzerland)","Queued for approval (MiracleHunter link added this pass — was missing; garbled place name — matches candidate via ""Oberhalbstein,"" the region MiracleHunter's own text names)",research_findings candidate cbc386cb-91ea-4690-89b1-565341e096a3,
1500-1599,"June 30, 1582 - Bopfingen, Flochberg (Germany)","Queued for approval (MiracleHunter link added this pass — was missing; MiracleHunter's own text names the pilgrimage site as Unterkochen, near Aalen)",research_findings candidate c4407078-abdb-4272-9b29-64fcabbd9d0b,
1500-1599,1583 - Madrid (Spain),Excluded — no locatable site identified,research_findings excluded 309d8f4b-c851-4c6a-9b2e-9b69939c0b32,aloysius-gonzaga
1500-1599,1584 - Florence (Italy),Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate e25e3e3e-e2f9-4d3f-bc85-181b49622073,mary-magdalene-depazzi
1500-1599,"May 24, 1585 - Pumengo (Italy)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 6b25942b-8ae5-426e-9243-23c110511db6,
1500-1599,"August 29, 1585 - Montevarchi, Arezzo, Tuscany (Italy)",Excluded — no locatable site identified,research_findings excluded 48526716-bce8-4597-b7ef-1fd418c418d5,
1500-1599,1587 - Angola (Africa),Excluded — no locatable site identified,research_findings excluded ee556471-dc45-42fe-afc8-bb8c692354db,
1500-1599,1587 - Cologne (Germany),Excluded — no locatable site identified,research_findings excluded 948f9270-9c1d-4433-9c5a-e4267e8eee84,
1500-1599,"July 12, 1586 - Stezzano (Italy)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 7041b094-57d3-4f32-ba6a-cfcc9c5775da,
1500-1599,1587 - Rome (Italy),Excluded — no locatable site identified,research_findings excluded 86da32dc-8ae4-40fc-b9d9-b68a18411dc9,felix-cantalice
1500-1599,1587 - Rome (Italy),Excluded — no locatable site identified,research_findings excluded 8f723618-5584-411b-a9a2-8a30eca34ec4,
1500-1599,"1587 - Médous, Bagnères-de-Bigorre (France)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 1d17baba-cd49-4760-be23-41f84e177b9a,
1500-1599,1588 - Naples (Italy),Excluded — no locatable site identified,research_findings excluded 8d8b57ed-c93f-4313-a211-fafe88bf5e28,
1500-1599,"Janary 7, 1588 - Costa di Folgaria (Italy)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate efce4ee0-9207-4cd0-b7a6-f400e9f09dd8,
1500-1599,1590 - Brac (Portugal),Excluded — no locatable site identified,research_findings excluded 3bb843f3-b659-4703-9980-a66712d2ea06,
1500-1599,1588 - Salutio (Italy),Excluded — no locatable site identified,research_findings excluded 447645ac-d865-4523-b970-c2bdaf899999,
1500-1599,"1589 - Tabacué, Corrientes (Argentina)","Queued for approval (MiracleHunter link added this pass — was missing; matched via Itatí, the modern name of this shrine)",research_findings candidate 2a2e357a-115a-451b-91a0-1aec64e76b76,
1500-1599,c. 1590 - Lima (Peru),Excluded — no locatable site identified,research_findings excluded 8c7544eb-ed18-4ab8-86ec-74ffe896f658,
1500-1599,1591 - Proceno (Lazio),Excluded — no locatable site identified,research_findings excluded 23342ce2-843a-4e6a-bc00-c6a8a79f7b17,alphonsus-orozco
1500-1599,"July 29, 1594 - Inferior Morbio (Switzerland)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 1f99c9bf-e9b2-4dcf-86c1-5b0717a7a0c3,
1500-1599,1594 - Acquasparta (Italy),Excluded — no locatable site identified,research_findings excluded 2c648608-cfee-4ee6-94bc-9ee830bad100,
1500-1599,1594 - Quito (Ecuador),Queued for approval,research_findings candidate 276096a8-cf23-4602-ab81-5fa3a5c5158e,
1500-1599,"September 11, 1595 - Monte Bonicca (Italy)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 7a1fee3b-19c7-4c99-8a89-9693e9d073bf,
1500-1599,"1596 - Arona, Piedmont (Italy)",Excluded — no locatable site identified,research_findings excluded 6d759f1b-6329-41da-b9cc-5b72693f7b9d,
1500-1599,1598 - Puy (France),Excluded — no locatable site identified,research_findings excluded 709b1996-ebb4-4239-9684-414d49612105,
1500-1599,End of 16th c. - Molare (Italy),Excluded — no locatable site identified,research_findings excluded 9d7f48f1-654a-48c5-ad67-f470178b9297,
1500-1599,1550 - Granada (Spain),Excluded — no locatable site identified,research_findings excluded 29bbace0-6caa-4439-9707-9b23731a0bfa,john-of-god
1500-1599,1550 - Lisbon (Portugal),Excluded — no locatable site identified,research_findings excluded 5284209b-52a4-4cf5-98df-cdd281bd7ed9,
1500-1599,1559 - Monomotapa (Rhodes),Excluded — no locatable site identified,research_findings excluded ad04f97e-2f06-4323-b42f-9917f53ffeff,
1500-1599,1568 - Amendolara (Calabria),Excluded — no locatable site identified,research_findings excluded e4e18727-207e-4618-b997-e5af32a305f1,
1500-1599,"1568 - Ancona (Marche, Italy)",Excluded — no locatable site identified,research_findings excluded 65bc258a-b56d-4733-935d-0e7feff07b02,
1500-1599,1569 - Faenza (Marche),Excluded — no locatable site identified,research_findings excluded 73a6e8f1-7878-409e-ac62-e99c860e20af,
1500-1599,1569 - Máriagyüd (Hungary),Queued for approval (MiracleHunter link added this pass — was missing; entry was omitted from the first extraction pass because its year wasn't bold-formatted in the source table — caught on a full re-scan before finalizing),research_findings candidate d981f0de-ce1b-465c-9620-b389a460776f,
1500-1599,1570 - Seville (Spain),Excluded — no locatable site identified,research_findings excluded e7d40cbc-fe7e-49f6-a1f4-9e8f77441718,
1500-1599,1573 - Languedoc (France),Excluded — no locatable site identified,research_findings excluded 0f2d033d-84a6-4f88-be95-7961da5c520e,
1500-1599,1576 - Nursia (Italy),Excluded — no locatable site identified,research_findings excluded 7892c5c4-385f-4b82-ab79-39cdc7a32f06,
1500-1599,1581 - Lowen (Belgium),"Excluded — no locatable site identified (distinct from the 1543 Lowen/Cornelius Wischaven entry above — different visionary, Fr. Henry Calstro, OP)",research_findings excluded 102e407c-1511-4503-8db9-096e7da9f7c8,
1500-1599,1582 - Plouguerneau (France),Excluded — no locatable site identified,research_findings excluded b42cd878-0eae-4a6a-b544-5910a9e217ad,
1500-1599,1595 - Dijon (France),Excluded — no locatable site identified,research_findings excluded d854b2c2-7325-4f57-84da-477a064b7e8a,
1500-1599,1597 - Fribourg (Switzerland),Excluded — no locatable site identified,research_findings excluded dc7c2070-03fc-4877-8919-aff5e039c26b,peter-canisius
