Page,MiracleHunter Entry,Status,Existing Link,Additional Tags
1100-1199,1157 - Mariazell (Austria),"Queued for approval (MiracleHunter source link added this pass — was missing; no dedicated MH subpage exists on this page, category index page used; MiracleHunter itself cross-references its own 1371 Mariazell entry on the 1300-1399 page)",research_findings candidate 6f57b68c-ea04-4cca-bb86-9618a0f4b16c,
1100-1199,c.1160 - Hildesheim (Germany) - Blessed Eskil,"Excluded — no locatable site identified (per existing research; no specific building named, only ""Hildesheim"" generally during Eskil's student years; MiracleHunter source link added this pass — was missing)",research_findings excluded af0ffa8c-d487-4fad-a454-40e5815b12a6,eskil
1100-1199,1160 - Mazières (France) - St. Hugh,"Excluded — no locatable site identified (per existing research; ""Mazières"" is a documented chronicler error for St. Hugh of Bonnevaux, whose actual monasteries [Bonnevaux, Léoncel] are queued as separate corrected leads; MiracleHunter source link added this pass — was missing)",research_findings excluded 66114006-e464-4af5-a382-55063396dde3,hugh-cistercian
1100-1199,"(undated) - Albi, Tarn (France)",Queued for approval (MiracleHunter source link added this pass — was missing; dedicated MH subpage used),research_findings candidate 684736b8-fe65-405e-b5b8-3053d3c88507,
1100-1199,(undated) - Cremona (Lombardy),"Excluded — no locatable site identified (per existing research; only ""the area of Cremona"" is given, no building named; MiracleHunter source link added this pass — was missing)",research_findings excluded e27a39a5-8df6-46a9-9831-04bd23b61d21,
1100-1199,(undated) - Leon (France) - St. Norberto,"Queued for approval (matched to the Abbey of Prémontré, the foundation Norbert built following the vision, per existing research — MiracleHunter's ""Leon"" does not correspond to a documented site; MiracleHunter source link added this pass — was missing; no dedicated MH subpage exists, category index page used)",research_findings candidate cbf231db-4a1f-41d0-86b0-2cc22be4bf88,norbert-xanten
1100-1199,(undated) - Noiretable (France) - a murderer,"Excluded — no locatable site identified (per existing research; combined with the ""Noiretal"" entry above as plausibly the same mistranscribed legend; shares the same underlying record)",research_findings excluded 55a0b91f-c034-4a20-bb73-a040bbc59279,
1100-1199,"(undated) - Clairvaux (France) - Cistercian monks, women",Queued for approval (matched to Abbey of Clairvaux — same site record as the Bernard of Clairvaux and Peter Monoculus entries on this page; MiracleHunter link already present on the shared record from this pass),research_findings candidate 8b48b5ed-67c6-4466-af21-d97aed421d6c,"bernard-clairvaux, peter-monoculus"
1100-1199,(undated) - Melrose (Scotland),"Queued for approval (MiracleHunter source link added this pass — was missing; no dedicated MH subpage exists, category index page used)",research_findings candidate 3d0cc9f2-dc93-4fe2-9308-4f0820e5a03a,
1100-1199,1170 - Durham (England) - St. Godric,"Queued for approval (matched to Finchale Priory, St. Godric's hermitage near Durham; MiracleHunter source link added this pass — was missing; no dedicated MH subpage exists, category index page used)",research_findings candidate 04597816-aef1-4bc4-a7b4-7180f0f94b08,godric-finchale
1100-1199,"1178 - Tortosa, Tarragona (Spain)","Queued for approval (MiracleHunter source link added this pass — was missing; no dedicated MH subpage exists, category index page used)",research_findings candidate 76f13531-65db-444e-931a-7e805b35d7e2,
1100-1199,(undated) - Clairvaux (France) - Bl. Peter Monoculus,Queued for approval (matched to Abbey of Clairvaux — same site record shared with the Bernard of Clairvaux and Cistercian monks/women entries above; MiracleHunter link already present on the shared record from this pass),research_findings candidate 8b48b5ed-67c6-4466-af21-d97aed421d6c,"bernard-clairvaux, peter-monoculus"
1100-1199,1182 - Le Puy (France),"Approved, in sites",https://orbisdei.org/site/fr-le-puy-en-velay-cathedral-of-our-lady-of-puy,camino
1100-1199,1190 - Cologne and Steinfeld (Germany) - St. Joseph Herman,Queued for approval (MiracleHunter source link added this pass — was missing; dedicated MH subpage used),research_findings candidate e2b39b6e-befd-42a7-aa28-2c5e3fb086bb,hermann-joseph
1100-1199,"April 17, 1198 - Potschiaw (Ukraine)","Queued for approval (matched to Pochaiv Lavra — ""Potschiaw"" is an older transliteration of Pochaiv; MiracleHunter source link added this pass — was missing; no dedicated MH subpage exists, category index page used)",research_findings candidate 151b4c13-f44c-48a5-ba6a-5363e9f073e9,
1100-1199,(undated) - Cluny (France) - priest,"Queued for approval (same site/candidate as the 1060 Cluny entry already logged on the 1000-1099 CSV — MiracleHunter records two separate apparition traditions at this abbey; MiracleHunter link already present from that pass, no change needed this pass)",research_findings candidate a742d480-fc9b-4249-b508-717c9f81a0fe,
