Page,MiracleHunter Entry,Status,Existing Link,Additional Tags
1200-1299,"undated (ca. 1218, same block as Barcelona) - Lowen/Leuven (Belgium) [Visionary: Rachel, a Jewish girl]",Excluded -- no locatable site identified (MiracleHunter source link added this pass),research_findings excluded ac0f6425-8018-46ef-be57-80b0938f939c,
1200-1299,1220 - Morocco [Visionary: St. Accursio],"Untraceable (Fulda-pattern: matched candidate is the Royal Monastery of Santa Cruz, Coimbra -- a real, well-documented site housing the relics of the Martyrs of Morocco -- but MiracleHunter's own entry places this specific apparition in Morocco itself, shortly before Accursio's death, and calls the source ""unverifiable""; no structure survives in Morocco from this era. marian-sites tag removed this pass, MiracleHunter source link added)",research_findings excluded 8b2d48da-1cfc-4bf4-b284-d984770a0812,martyrs-of-morocco
1200-1299,1221 - Padua/Venice (Italy) [Visionary: St. Anthony of Padua],"Queued for approval (matched to the Hermitage of Montepaolo near Forli, per MiracleHunter's own narrative, not to Padua itself; MiracleHunter source link added this pass)",research_findings candidate 66c00a35-e551-44b9-b5fb-752c390be5ea,anthony-padua
1200-1299,1222 - Bologna (Italy) [Visionary: Blessed Jordan of Saxony],Queued for approval (marian-sites tag and MiracleHunter source link both added this pass -- were missing),research_findings candidate ccafeb43-5bf8-4954-b46e-0e7a362d2964,"dominic-guzman, jordan-of-saxony"
1200-1299,"undated (ca. 1222, same block as Bologna) - Bonn (Germany) [Visionary: a woman in prison]",Excluded -- no locatable site identified (MiracleHunter source link added this pass),research_findings excluded 7841ea31-91fa-417b-b093-b42596f9b0e8,
1200-1299,"May 9, 1225 - Banos de la Encina, Jaen, Andalucia (Spain)",Queued for approval (MiracleHunter source link added this pass),research_findings candidate cd71d698-b4b3-4f62-a6f2-885598b83f0c,
1200-1299,1225 - Cologne (Germany) [Visionary: St. Albert the Great],Queued for approval (marian-sites tag and MiracleHunter source link both added this pass -- were missing),research_findings candidate 11fdcca9-3871-494c-9b45-27c980035194,albertus-magnus
1200-1299,"undated (ca. 1225, same block as Cologne) - Rome (Italy) [Visionary: Pope Honorius III]",Excluded -- no locatable site identified (MiracleHunter source link added this pass),research_findings excluded e0aa55f1-845e-47b4-b7b9-30150ca30770,
1200-1299,1226 - Wartburg (Germany) [Visionary: St. Elizabeth of Thuringia],Queued for approval (MiracleHunter source link added this pass),research_findings candidate e986c192-9981-479d-a6a2-f6bd98bc862a,elizabeth-thuringia
1200-1299,c. 1230 - Apulia (Italy) [Visionary: Saint Peter Celestine],Queued for approval (matched to the Hermitage of St. Onuphrius at Morrone near Sulmona -- Celestine's documented mountain hermitage; marian-sites tag and MiracleHunter source link both added this pass -- were missing),research_findings candidate 1886d162-e7a2-4232-bba6-0d24facb63aa,peter-celestine
1200-1299,"undated (ca. 1230, same block as Apulia) - Padua/Venice (Italy) [Visionary: Blessed Helen of Padua]",Excluded -- no locatable site identified (MiracleHunter source link added this pass),research_findings excluded 4584c41b-0d6f-4dcc-8736-19058fecac6f,
1200-1299,"undated (ca. 1230, same block as Apulia) - Villers (Belgium) [Visionary: Gottardo, a Cistercian Monk]","Queued for approval (second apparition tradition at the same Villers Abbey site logged earlier on this page -- see the lay-brother entry above; same candidate row, no new work needed)",research_findings candidate b09664e0-00cd-4796-b2cc-c4183cc96450,
1200-1299,"undated (ca. 1230, same block as Apulia) - Kiev (Ukraine) [Visionary: St. Hyacinth of Poland]","Excluded -- no locatable site identified (medieval Kyiv, including any structure Hyacinth used, was destroyed in the 1240 Mongol sack; MiracleHunter source link added this pass)",research_findings excluded fb60b7b5-819a-4f31-a64f-db563b493c9c,hyacinth-poland
1200-1299,"Aug 15, 1233 - Florence (Italy) [Visionaries: the Seven Founders of the Servite Order]",Queued for approval (MiracleHunter source link added this pass),research_findings candidate e473e205-6d88-49e2-ba1d-e4308a11f5f7,servite-seven-founders
1200-1299,"undated (ca. 1233, same block as Florence) - Agde (France) [Visionary: Laodato Monaco]",Excluded -- no locatable site identified (MiracleHunter source link added this pass),research_findings excluded c29b1be9-0278-4f4a-8de2-1352bbae0c83,
1200-1299,"undated (ca. 1233, same block as Florence) - Monte Fano, Marche (Italy) [Visionary: Abbot San Silvestre Gozzelino]","Queued for approval (second apparition tradition tied to the same St. Silvester Guzzolini as the ca.1200 Osimo entry above, but a distinct physical site -- Abbey of Monte Fano, Fabriano -- kept as its own record; MiracleHunter source link added this pass)",research_findings candidate 60d6f396-fa9e-42f4-a606-ea7cb7e60a3f,sylvester-guzzolini
1200-1299,"undated (ca. 1233, same block as Florence) - Wranau, Moravia [Visionary: Wilhelm Rosenberg]",Queued for approval (MiracleHunter source link added this pass),research_findings candidate 68a1b147-7ce7-4b9c-bc41-d527fdd77c28,
1200-1299,"1241 - Hostyn, Moravia/Czech Republic",Queued for approval (MiracleHunter source link added this pass),research_findings candidate 94926490-caf0-4a6e-b597-7241e449033d,
1200-1299,"1246 - Viterbo, Lazio (Italy) [Visionary: St. Rose of Viterbo]",Queued for approval (MiracleHunter source link added this pass),research_findings candidate 883c4e25-dfa9-4072-b157-0ed9c8d30e51,rose-viterbo
1200-1299,c. 1250 - Swieta Lipka (Poland) [Visionary: a prisoner],"Approved, in sites (MiracleHunter link_type/comment standardized this pass to match the established 'MiracleHunter' + Search-comment format)",https://orbisdei.org/site/pl-swieta-lipka-swieta-lipka-sanctuary,
1200-1299,1250 - Helfta (Germany) [Visionary: St. Matilda of Hackeborn],"Queued for approval (MiracleHunter source link added this pass; this record also covers the undated St. Gertrude/Helfta entry later on this page -- same physical site, second visionary)",research_findings candidate 620e79d4-f33b-4478-bc0e-58a9f0520ff6,"matilda-hackeborn, gertrude-great"
1200-1299,"c. 1250 - Somma Lombardo (Italy) [Visionary: a deaf-mute shepherdess, Our Lady of the Acorn]",Queued for approval (MiracleHunter source link added this pass),research_findings candidate 47b13c26-59af-4f82-a9dd-5346ac212aef,
1200-1299,c. 1250 - Albendorf (Poland) [Visionary: a knight],Queued for approval (Albendorf is the historical German name for Wambierzyce; MiracleHunter source link added this pass),research_findings candidate 090b6e2c-090d-4c10-ab2e-eaa8a4581d07,
1200-1299,"1250 - Lucca, Tuscany (Italy) [Visionary: St. Zita]",Queued for approval (MiracleHunter source link added this pass),research_findings candidate 59ea83ed-e22b-4f14-a70f-6b5f0edd40ff,zita-lucca
1200-1299,"July 16, 1251 - Aylesford (England) [Visionary: St. Simon Stock]",Queued for approval,research_findings candidate 57220ce6-89e4-43df-908c-eb58bae809ec,simon-stock
1200-1299,"undated (ca. 1251, same block as Aylesford) - Siena, Tuscany (Italy) [Visionary: St. Aldobrandesca of Siena]",Excluded -- no locatable site identified (MiracleHunter source link added this pass),research_findings excluded a9c7c8dc-9162-4f55-ae3e-9b9f0e3eb8b0,aldobrandesca-siena
1200-1299,"undated (ca. 1251, same block as Aylesford) - Florence (Italy) [Visionary: St. Philip Benizi]","Excluded -- no locatable site identified (his real tie to the Servite motherhouse, Santissima Annunziata, is not tied to this specific apparition claim, which names no location; MiracleHunter source link added this pass)",research_findings excluded f9e1477c-0248-4c32-ace2-95ea31adeb31,philip-benizi
1200-1299,"undated (ca. 1251, same block as Aylesford) - Heisterbach (Germany) [Visionaries: Cistercian Monks]","Queued for approval (second apparition tradition at the same Heisterbach Abbey site logged earlier on this page -- see the 1200 Henry entry above; same candidate row, no new work needed)",research_findings candidate 47ea944f-43f5-4570-8ba1-3c455217bc17,
1200-1299,"undated (ca. 1251, same block as Aylesford) - Margaret Island, Budapest (Hungary) [Visionary: Saint Margaret of Hungary]",Queued for approval (MiracleHunter source link added this pass),research_findings candidate 0aabb6a2-8682-40d0-8b04-12d49ffa6521,margaret-hungary
1200-1299,"undated (ca. 1251, same block as Aylesford) - Tortosa (Spain) [Visionary: a priest, belt relic]","Queued for approval (same Santa Cinta / Holy Sash legend already logged as a candidate on the 1100-1199 era-page CSV, dated there 1178 with a carpenter as visionary; this 1200s account is a garbled retelling of the same tradition, not a distinct site -- marked duplicate in the DB and pointed at the surviving 1100-1199 record)",research_findings candidate 76f13531-65db-444e-931a-7e805b35d7e2,
1200-1299,"undated (ca. 1251, same block as Aylesford) - Siena, Tuscany (Italy) [Visionary: Blessed John Piccolomini]",Excluded -- no locatable site identified (MiracleHunter source link added this pass),research_findings excluded 069fb868-80a5-4c5d-83fc-d9269edb4261,john-piccolomini
1200-1299,"undated (ca. 1251, same block as Aylesford) - Helft/Helfta (Germany) [Visionary: St. Gertrude]","Queued for approval (second visionary at the same Kloster Helfta site logged earlier on this page -- see the 1250 Matilda of Hackeborn entry above; same candidate row, already tagged for both visionaries)",research_findings candidate 620e79d4-f33b-4478-bc0e-58a9f0520ff6,"matilda-hackeborn, gertrude-great"
1200-1299,"1268 - Avezzano (Italy) [Visionary: a deaf-mute shepherd, Our Lady of Pietraquaria]",Queued for approval (MiracleHunter source link added this pass),research_findings candidate 4da8fe20-2e0f-4cb9-8662-669cbf6e3a3a,
1200-1299,"Aug 8, 1282 - Messina (Italy) [Visionaries: Nicholas, a friar, & soldiers; Our Lady of Montalto / The White Lady]","Queued for approval (MiracleHunter source link added this pass; this record also covers the June 12, 1294 Messina entry later on this page -- same sanctuary/title, second recorded apparition date)",research_findings candidate 2d619e58-286e-4f75-9070-542f04c5202a,
1200-1299,"1283 - Forli, Emilia Romagna (Italy) [Visionary: St Pellegrino Laziosi]",Queued for approval (MiracleHunter source link added this pass),research_findings candidate 8427e86b-02c2-4868-92c3-69c83579b860,pellegrino-laziosi
1200-1299,"1285 - Tolentino, Marche (Italy) [Visionary: St. Nicholas of Tolentino]",Queued for approval (MiracleHunter source link added this pass),research_findings candidate 9d651bbf-bc1c-43cd-b3c8-13ada6aaaeb6,nicholas-tolentino
1200-1299,1290 - Foligno (Italy) [Visionary: Blessed Angela of Foligno],Queued for approval (MiracleHunter source link added this pass),research_findings candidate 47d292a5-ed75-4abf-91de-de9e8d7c51da,angela-foligno
1200-1299,"undated (ca. 1290, same block as Foligno) - Muhllacken (Austria) [Visionary: Bruno Knappen]",Queued for approval (MiracleHunter source link added this pass),research_findings candidate 4dbc303b-bc76-40e3-944c-f265e1d746b4,
1200-1299,"c. 1291 - Pentone (Italy) [Visionary: Maria Madia, Madonna di Termine]","Queued for approval (MiracleHunter source link added this pass, in addition to the external parrocchiapentone.it source already present)",research_findings candidate d7d41011-a242-4236-9a9e-a8847ea34e19,
1200-1299,"June 12, 1294 - Messina (Italy) [Visionary: Nicholas, a friar]","Queued for approval (second recorded apparition date at the same Sanctuary of Montalto logged earlier on this page -- see the Aug 8, 1282 entry above; same candidate row, no new work needed)",research_findings candidate 2d619e58-286e-4f75-9070-542f04c5202a,
